Feature,Hazard_Ratio,CI_Lower,CI_Upper,p_value
episode_min_rating,1.0004977574471887,0.996757081967378,1.0042524711047043,0.7945692276350713
episode_max_rating,0.9994070664118127,0.9952569931435303,1.0035744448668467,0.7799675365014971
episode_mean_rating,0.9999704908319149,0.9951882729863974,1.0047756888593162,0.9903737249315878
episode_review_count,0.9999880178088476,0.9985580514643762,1.001420031909825,0.9869061976396052
prior_verified_episode_count,0.9997747900142033,0.9989461196401909,1.0006041478072618,0.5944600896183387
prior_review_count,0.999983686846781,0.9997226735553874,1.0002447682850117,0.9025193360926754
historical_mean_rating,0.9995436843181469,0.9978232708709239,1.0012670640445855,0.6035605589722886
days_since_previous_episode,1.0000019733320236,0.999995764046392,1.0000081826562106,0.5333621466288362
customer_lifetime,0.9999988209413383,0.9999948257592381,1.0000028161394001,0.5629783467048446
review_frequency,1.0000123599255502,0.9995391143248683,1.0004858295908987,0.9591842502941705
recent_low_rating_count,0.999500186320491,0.9941666934424666,1.0048622922535166,0.8546910104986564
historical_mean_rating_missing,1.0020541911635377,0.9939214409471009,1.0102534875106424,0.6216260165561047
semantic_available,1.0008917771359191,0.8779071362261486,1.1411051444970133,0.989367974078103
sentiment_positive_sentences,0.999927588637216,0.9992604378258769,1.0005951848681756,0.8315981504005472
sentiment_negative_sentences,0.999637108383817,0.9976497441952021,1.001628431493327,0.7207417782984907
sentiment_total_sentences,0.9999763153369512,0.9995732752884134,1.000379517896117,0.9083240271603692
sentiment_mean_compound,0.999899911921653,0.9885618060145004,1.0113680578979036,0.9862749845735351
sentiment_mixed_intensity,0.9984599211650084,0.9790639718300572,1.018240117966344,0.8776176374605107
sentiment_positive_ratio,1.0005849857010238,0.9922785953627736,1.0089609090522544,0.8906365009686082
sentiment_negative_ratio,1.0005999681892845,0.9869093382030251,1.0144805176971914,0.932000105029506
Domain_Experience_Positive,1.000489470836582,0.858405140293931,1.1660917837841853,0.9950038375527342
Domain_Experience_Negative,1.0009181149579545,0.7735939843807922,1.2950424810411179,0.9944295146546362
Product_Performance_Usability_Positive,0.9996991065125959,0.5660077450482188,1.7656972228833063,0.9991726846945836
Product_Performance_Usability_Negative,0.9987795530038357,0.6426060977282532,1.5523671484368524,0.9956695863090467
Product_Condition_Quality_Positive,1.000879587737287,0.7348143270690736,1.3632830937644398,0.9955506938799491
Product_Condition_Quality_Negative,1.0001149784779944,0.7248763667685988,1.3798628511437467,0.9994414007246534
Packaging_Presentation_Positive,0.9985004607472842,0.5175087643862825,1.9265435461656235,0.9964292930645279
Packaging_Presentation_Negative,0.9996797145909245,0.6131667711803493,1.6298331526361414,0.9989751381238866
Delivery_Fulfillment_Positive,0.9994961185538314,0.677426229381763,1.4746882356708884,0.997973572665675
Delivery_Fulfillment_Negative,0.9997298867124623,0.42203075377254123,2.368215674928714,0.9995101303974743
Customer_Service_Returns_Positive,0.9988046236603304,0.4498510591856975,2.2176466096380643,0.997654996350047
Customer_Service_Returns_Negative,0.998754529286259,0.14951424975584246,6.67167585296222,0.9989737803001766
Listing_Expectation_Compatibility_Positive,0.998354105295869,0.3239799635403908,3.0764585212901734,0.9977110823385398
Listing_Expectation_Compatibility_Negative,0.9999018744647056,0.4129027410668185,2.4214025704330147,0.9998264915510239
Price_Value_Positive,0.9991494788799061,0.6167646977007001,1.6186070390663585,0.9972417431129296
Price_Value_Negative,0.9995081392807421,0.2505090791764827,3.987945362190438,0.9994440013194213
positive_aspect_count,1.0003573819729439,0.8715740803955939,1.148169632595721,0.9959453334892101
negative_aspect_count,1.0004791352365696,0.799244803990406,1.2523803658731443,0.9966642383274708
net_sentiment,1.0001851213401705,0.879276517501658,1.1377197696495573,0.9977532748853085
positive_minus_negative_ratio,1.000246544307542,0.8593305788580219,1.164270391411825,0.9974612525726213
positive_ratio,1.0004786849963352,0.8454510505212881,1.1839332371931242,0.9955548783269684
negative_ratio,1.000773722499844,0.7379474818559822,1.3572077529517974,0.996029969601277
aspect_entropy,1.0009189225015886,0.6882112576361533,1.4557138935256966,0.9961653677676027
dominance_ratio,1.0005029136181238,0.8624599467250398,1.1606406581075526,0.9947041905695155
dominant_positive_aspect_id,0.9999947958976921,0.9201678904021409,1.0867468885329628,0.9999021764415167
dominant_negative_aspect_id,1.0000780820226767,0.9013288734475372,1.1096462119499277,0.9988255280891214
sentiment_profile,1.0002231554832564,0.9156762206916808,1.0925765441513469,0.9960489896234215
same_aspect_conflict,0.9998030606689621,0.7043971379630207,1.4190945792506917,0.9991205173030385
cross_aspect_conflict,1.0001728505289826,0.659482604709039,1.5168644688916684,0.9993510145856884
has_conflict,0.9999296261638001,0.722396110396823,1.384087265822679,0.9996614813480352
semantic_variance,0.9999296261638001,0.722396110396823,1.384087265822679,0.9996614813480352
previous_negative_count,1.0027841218980034,0.8918290444876995,1.1275434471955226,0.9629351382765565
previous_total_aspects,0.9926978566127306,0.9420733352020911,1.0460428054808635,0.7837556996987983
rolling_negative_ratio,1.0080292189024096,0.8255316451204794,1.2308709328916245,0.9374473025747457
negative_streak,1.0018026036513437,0.8816480202555401,1.1383323430950614,0.9779587758071207
positive_streak,0.9949742765299913,0.9179879586013,1.0784169897661418,0.9024064053291982
last_negative_aspect_id,1.0051696188609545,0.9334366256864981,1.082415168719141,0.8914269836334742
sentiment_flip_rate,1.0790806287501244,0.050145959160587374,23.22051512894274,0.9612323932728246
aspect_transition_pattern,1.0000000001429195,0.012492656558737082,80.04702567337141,0.9999999999490028
days_since_last_negative,0.9999876015648617,0.9999227110960237,1.000052496244798,0.7080545188639862
