Feature,Hazard_Ratio,CI_Lower,CI_Upper,p_value
episode_duration,1.2140629635412845,1.210315421935165,1.2178221087904173,0.0
prior_verified_episode_count,1.1820605845794465,1.1768033888757903,1.1873412660301084,0.0
customer_lifetime,1.0764720995167343,1.0718853989449324,1.0810784270208145,8.708161621053334e-251
episode_review_count,1.0611381508756252,1.0590010321397996,1.0632795824273522,0.0
episode_max_rating,1.0536375708244496,1.047604680511046,1.05970520302686,3.868826596955447e-71
prior_review_count,1.0370145888853106,1.0324613846655557,1.0415878729540309,6.040211371105606e-59
rolling_negative_ratio,1.0127681502591355,1.0081918642272385,1.0173652085215856,4.002220260718308e-08
episode_mean_rating,1.0052536209578822,0.9985538739372801,1.0119983195943274,0.1245875941010847
Price_Value_Positive,1.0031532919621102,0.9977757391633731,1.0085598272996765,0.2509658172154946
sentiment_flip_rate,1.002022550994462,0.9991469787555799,1.004906399208628,0.16821422420450619
aspect_transition_pattern,1.001127197128434,0.9985398617652437,1.0037212365848085,0.3935187804438016
same_aspect_conflict,1.000352813668505,0.9933891229145394,1.0073653201260033,0.9211600943986226
dominance_ratio,1.0003277738587348,0.9936562062033455,1.007044135492869,0.9235307262082476
semantic_variance,1.000274440109842,0.9932969997341117,1.0073008936953274,0.9387574962033128
has_conflict,1.000274440109842,0.9932969997341117,1.0073008936953274,0.9387574962033128
sentiment_profile,1.0001636467941992,0.9930109375634816,1.0073678773600843,0.9643582909625864
Domain_Experience_Negative,1.0001472063195882,0.9938102903134406,1.006524528935388,0.9637973773188557
net_sentiment,1.0000253749975687,0.9939236037216412,1.0061646055033249,0.993516483235003
Domain_Experience_Positive,0.9999611122619037,0.9930568754080294,1.0069133508845736,0.9912226316545453
negative_streak,0.9999411897221978,0.993809608602496,1.0061106013143581,0.9850481213103134
cross_aspect_conflict,0.9991510568053114,0.9925536841134015,1.0057922813584683,0.8016085667293555
positive_streak,0.9988718445897135,0.9948364141019824,1.0029236443005556,0.5847109639700557
previous_total_aspects,0.9983728075649683,0.9923741998087343,1.0044076751262436,0.5963665386825197
Product_Performance_Usability_Negative,0.9979740037531849,0.9917698762466002,1.004216941874046,0.5238642907579572
aspect_entropy,0.9976010079126342,0.9915638306737001,1.0036749427539402,0.43802097760517567
Product_Performance_Usability_Positive,0.995968258785759,0.9902552817996776,1.0017141950568282,0.16869048485478957
review_frequency,0.9946935785657691,0.9907897084686986,0.9986128305361115,0.008005784720160313
previous_negative_count,0.9937609381969645,0.9873142886554498,1.0002496810119068,0.059459299191875835
recent_low_rating_count,0.9879189757802064,0.984822997700877,0.9910246866544543,3.2038957657188e-14
days_since_last_negative,0.9837040746062453,0.9797026059181652,0.9877218867760769,2.779626227002948e-15
historical_mean_rating,0.9802169243614793,0.9764756464841867,0.9839725366056408,1.2978182632081815e-24
episode_min_rating,0.9489660626228826,0.9437072568299033,0.954254173095007,3.268995499321157e-76
days_since_previous_episode,0.7738670609083855,0.7700428221992675,0.7777102918102529,0.0
